COD_MUN,Ano,Valor,Indicador,GeoType
351360,2017,"1,13",Consultas,Municipio
351370,2017,"2,17",Consultas,Municipio
351380,2017,"0,31",Consultas,Municipio
351385,2017,"5,34",Consultas,Municipio
351390,2017,"0,86",Consultas,Municipio
351400,2017,"2,1",Consultas,Municipio
351410,2017,"1,18",Consultas,Municipio
351420,2017,"3,15",Consultas,Municipio
351430,2017,"5,92",Consultas,Municipio
351440,2017,"1,34",Consultas,Municipio
351450,2017,"1,45",Consultas,Municipio
351460,2017,"29,41",Consultas,Municipio
351470,2017,"1,84",Consultas,Municipio
351480,2017,"0,57",Consultas,Municipio
351490,2017,"0,73",Consultas,Municipio
351492,2017,"1,23",Consultas,Municipio
351495,2017,"6,25",Consultas,Municipio
351500,2017,"0,96",Consultas,Municipio
351510,2017,"4,18",Consultas,Municipio
351512,2017,"1,14",Consultas,Municipio
351515,2017,"0,88",Consultas,Municipio
351518,2017,"1,09",Consultas,Municipio
351519,2017,"3,32",Consultas,Municipio
355730,2017,"0,53",Consultas,Municipio
351520,2017,"2,18",Consultas,Municipio
351530,2017,"1,3",Consultas,Municipio
351535,2017,"0,6",Consultas,Municipio
351540,2017,"0,34",Consultas,Municipio
351560,2017,"4,18",Consultas,Municipio
351550,2017,"0,91",Consultas,Municipio
351565,2017,"4,48",Consultas,Municipio
351570,2017,"0,63",Consultas,Municipio
351580,2017,"0,25",Consultas,Municipio
351590,2017,"3,63",Consultas,Municipio
351600,2017,"1,72",Consultas,Municipio
351610,2017,"6,39",Consultas,Municipio
351620,2017,"0,97",Consultas,Municipio
351630,2017,"0,5",Consultas,Municipio
351640,2017,"0,36",Consultas,Municipio
351650,2017,"2,36",Consultas,Municipio
351660,2017,"3,04",Consultas,Municipio
351670,2017,"1,05",Consultas,Municipio
351680,2017,"114,18",Consultas,Municipio
351685,2017,"4,1",Consultas,Municipio
351690,2017,"0,96",Consultas,Municipio
351700,2017,"1,84",Consultas,Municipio
351710,2017,"4,15",Consultas,Municipio
351720,2017,"1,61",Consultas,Municipio
351730,2017,"1,3",Consultas,Municipio
351740,2017,"3,88",Consultas,Municipio
351750,2017,"1,83",Consultas,Municipio
351760,2017,"1,16",Consultas,Municipio
