COD_MUN,Ano,Valor,Indicador,GeoType
350010,2016,"1,74",Consultas,Municipio
350020,2016,"3,32",Consultas,Municipio
350030,2016,"1,19",Consultas,Municipio
350040,2016,"5,79",Consultas,Municipio
350050,2016,"2,06",Consultas,Municipio
350055,2016,"2,77",Consultas,Municipio
350060,2016,"0,97",Consultas,Municipio
350070,2016,"2,03",Consultas,Municipio
350075,2016,"3,32",Consultas,Municipio
350080,2016,"3,16",Consultas,Municipio
350090,2016,"5,27",Consultas,Municipio
350100,2016,"1,48",Consultas,Municipio
350110,2016,"4,54",Consultas,Municipio
350115,2016,"0,76",Consultas,Municipio
350120,2016,"4,83",Consultas,Municipio
350130,2016,"5,31",Consultas,Municipio
350140,2016,"1,61",Consultas,Municipio
350150,2016,"3,84",Consultas,Municipio
350160,2016,"0,53",Consultas,Municipio
350170,2016,"2,82",Consultas,Municipio
350180,2016,"2,68",Consultas,Municipio
350190,2016,"0,94",Consultas,Municipio
350200,2016,"3,97",Consultas,Municipio
350210,2016,"2,32",Consultas,Municipio
350220,2016,"0,99",Consultas,Municipio
350230,2016,"1,47",Consultas,Municipio
350240,2016,"0,89",Consultas,Municipio
350250,2016,"0,51",Consultas,Municipio
350260,2016,"3,78",Consultas,Municipio
350270,2016,"0,35",Consultas,Municipio
350275,2016,"0,91",Consultas,Municipio
350280,2016,"1,21",Consultas,Municipio
350290,2016,"0,83",Consultas,Municipio
350300,2016,"3,18",Consultas,Municipio
350310,2016,"1,38",Consultas,Municipio
350315,2016,"0,69",Consultas,Municipio
350320,2016,"0,85",Consultas,Municipio
350330,2016,"0,75",Consultas,Municipio
350335,2016,"3,12",Consultas,Municipio
350340,2016,"2,05",Consultas,Municipio
350350,2016,"5,55",Consultas,Municipio
350360,2016,"1,64",Consultas,Municipio
350370,2016,"2,76",Consultas,Municipio
350380,2016,"1,05",Consultas,Municipio
350390,2016,"0,73",Consultas,Municipio
350395,2016,"6,78",Consultas,Municipio
350400,2016,"1,05",Consultas,Municipio
350410,2016,"0,71",Consultas,Municipio
350420,2016,"1,65",Consultas,Municipio
350430,2016,"0,82",Consultas,Municipio
350440,2016,"2,92",Consultas,Municipio
350450,2016,"0,83",Consultas,Municipio
350460,2016,"2,08",Consultas,Municipio
350470,2016,"2,76",Consultas,Municipio
350480,2016,"6,85",Consultas,Municipio
350490,2016,"0,61",Consultas,Municipio
350500,2016,"2,92",Consultas,Municipio
350510,2016,"1,35",Consultas,Municipio
350520,2016,"1,26",Consultas,Municipio
350530,2016,"0,85",Consultas,Municipio
350535,2016,"0,24",Consultas,Municipio
350540,2016,"3,33",Consultas,Municipio
350550,2016,"0,92",Consultas,Municipio
350560,2016,"0,48",Consultas,Municipio
350570,2016,"1,57",Consultas,Municipio
350580,2016,"2,16",Consultas,Municipio
350590,2016,"1,12",Consultas,Municipio
350600,2016,"0,78",Consultas,Municipio
350610,2016,1,Consultas,Municipio
350620,2016,"2,15",Consultas,Municipio
350630,2016,"2,31",Consultas,Municipio
350635,2016,"0,84",Consultas,Municipio
350640,2016,"1,33",Consultas,Municipio
350650,2016,"0,93",Consultas,Municipio
350660,2016,"0,74",Consultas,Municipio
350670,2016,"0,42",Consultas,Municipio
