COD_MUN,Ano,Valor,Indicador,GeoType
351640,2016,"10,29",Mortalidade,Municipio
351660,2016,"15,38",Mortalidade,Municipio
351670,2016,"5,91",Mortalidade,Municipio
351685,2016,"41,67",Mortalidade,Municipio
351690,2016,"35,71",Mortalidade,Municipio
351720,2016,"12,58",Mortalidade,Municipio
351730,2016,"63,29",Mortalidade,Municipio
351740,2016,"2,28",Mortalidade,Municipio
351750,2016,"7,81",Mortalidade,Municipio
351760,2016,"27,03",Mortalidade,Municipio
351770,2016,"10,64",Mortalidade,Municipio
351780,2016,"12,2",Mortalidade,Municipio
351820,2016,"13,26",Mortalidade,Municipio
351830,2016,"7,23",Mortalidade,Municipio
351840,2016,"14,46",Mortalidade,Municipio
351850,2016,"12,82",Mortalidade,Municipio
351860,2016,"10,04",Mortalidade,Municipio
351870,2016,"13,73",Mortalidade,Municipio
351880,2016,"12,4",Mortalidade,Municipio
351885,2016,"45,45",Mortalidade,Municipio
351890,2016,"16,13",Mortalidade,Municipio
351900,2016,"9,71",Mortalidade,Municipio
351905,2016,"4,67",Mortalidade,Municipio
351907,2016,"11,48",Mortalidade,Municipio
351930,2016,"8,37",Mortalidade,Municipio
351940,2016,"13,7",Mortalidade,Municipio
351960,2016,"17,02",Mortalidade,Municipio
351970,2016,"13,97",Mortalidade,Municipio
352000,2016,"3,6",Mortalidade,Municipio
352010,2016,"6,73",Mortalidade,Municipio
352020,2016,"8,2",Mortalidade,Municipio
352030,2016,"13,66",Mortalidade,Municipio
352042,2016,"13,25",Mortalidade,Municipio
352044,2016,"14,08",Mortalidade,Municipio
352040,2016,"16,39",Mortalidade,Municipio
352050,2016,"10,47",Mortalidade,Municipio
352060,2016,60,Mortalidade,Municipio
352090,2016,"17,75",Mortalidade,Municipio
352100,2016,"30,03",Mortalidade,Municipio
352120,2016,"18,18",Mortalidade,Municipio
352140,2016,"3,68",Mortalidade,Municipio
352170,2016,"33,02",Mortalidade,Municipio
352180,2016,"30,51",Mortalidade,Municipio
352190,2016,"18,52",Mortalidade,Municipio
352210,2016,"11,96",Mortalidade,Municipio
352220,2016,"8,96",Mortalidade,Municipio
352230,2016,"10,12",Mortalidade,Municipio
352240,2016,"20,89",Mortalidade,Municipio
352250,2016,"12,97",Mortalidade,Municipio
352260,2016,"13,72",Mortalidade,Municipio
352270,2016,"11,19",Mortalidade,Municipio
352280,2016,"10,36",Mortalidade,Municipio
352290,2016,"16,13",Mortalidade,Municipio
352310,2016,"14,1",Mortalidade,Municipio
352320,2016,17,Mortalidade,Municipio
352330,2016,"21,62",Mortalidade,Municipio
352340,2016,"14,77",Mortalidade,Municipio
352350,2016,"24,65",Mortalidade,Municipio
352360,2016,"26,32",Mortalidade,Municipio
352370,2016,"14,49",Mortalidade,Municipio
352380,2016,"35,71",Mortalidade,Municipio
352390,2016,"5,7",Mortalidade,Municipio
352400,2016,"9,09",Mortalidade,Municipio
352430,2016,"6,52",Mortalidade,Municipio
352440,2016,"10,3",Mortalidade,Municipio
352450,2016,"11,49",Mortalidade,Municipio
352460,2016,"26,22",Mortalidade,Municipio
352470,2016,"13,02",Mortalidade,Municipio
352480,2016,"11,11",Mortalidade,Municipio
352500,2016,"7,9",Mortalidade,Municipio
352510,2016,"16,01",Mortalidade,Municipio
352520,2016,"7,73",Mortalidade,Municipio
352530,2016,"7,18",Mortalidade,Municipio
352540,2016,"20,83",Mortalidade,Municipio
352550,2016,"14,93",Mortalidade,Municipio
352570,2016,"2,24",Mortalidade,Municipio
352580,2016,"30,77",Mortalidade,Municipio
352590,2016,"8,07",Mortalidade,Municipio
352600,2016,"8,55",Mortalidade,Municipio
352610,2016,"7,58",Mortalidade,Municipio
352620,2016,"13,1",Mortalidade,Municipio
352640,2016,"10,1",Mortalidade,Municipio
352650,2016,"42,55",Mortalidade,Municipio
352660,2016,"31,25",Mortalidade,Municipio
352670,2016,"6,72",Mortalidade,Municipio
352680,2016,"10,36",Mortalidade,Municipio
352690,2016,"8,08",Mortalidade,Municipio
352710,2016,"8,1",Mortalidade,Municipio
352720,2016,"9,02",Mortalidade,Municipio
352725,2016,"90,91",Mortalidade,Municipio
352730,2016,"6,62",Mortalidade,Municipio
352760,2016,"15,5",Mortalidade,Municipio
352770,2016,"17,54",Mortalidade,Municipio
352800,2016,"4,98",Mortalidade,Municipio
352830,2016,"32,26",Mortalidade,Municipio
352840,2016,"9,62",Mortalidade,Municipio
352850,2016,"12,22",Mortalidade,Municipio
352860,2016,"21,51",Mortalidade,Municipio
352880,2016,"14,08",Mortalidade,Municipio
352885,2016,"30,3",Mortalidade,Municipio
352890,2016,"26,32",Mortalidade,Municipio
352900,2016,"11,47",Mortalidade,Municipio
352920,2016,"18,52",Mortalidade,Municipio
352930,2016,"13,71",Mortalidade,Municipio
352940,2016,"9,33",Mortalidade,Municipio
352950,2016,"15,38",Mortalidade,Municipio
352970,2016,"9,05",Mortalidade,Municipio
352980,2016,"33,61",Mortalidade,Municipio
352990,2016,"21,94",Mortalidade,Municipio
353010,2016,"7,07",Mortalidade,Municipio
353020,2016,"5,56",Mortalidade,Municipio
353030,2016,"15,51",Mortalidade,Municipio
353050,2016,"12,63",Mortalidade,Municipio
353060,2016,"12,34",Mortalidade,Municipio
353070,2016,"11,01",Mortalidade,Municipio
353080,2016,"5,46",Mortalidade,Municipio
353090,2016,"40,82",Mortalidade,Municipio
353110,2016,"9,8",Mortalidade,Municipio
353130,2016,"15,41",Mortalidade,Municipio
353140,2016,"12,66",Mortalidade,Municipio
