COD_MUN,Ano,Valor,Indicador,GeoType
350010,2017,"11,63",Mortalidade,Municipio
350030,2017,"16,06",Mortalidade,Municipio
350040,2017,"25,32",Mortalidade,Municipio
350050,2017,"8,37",Mortalidade,Municipio
350070,2017,"13,86",Mortalidade,Municipio
350080,2017,"20,83",Mortalidade,Municipio
350090,2017,"20,41",Mortalidade,Municipio
350100,2017,"16,48",Mortalidade,Municipio
350115,2017,"20,33",Mortalidade,Municipio
350130,2017,"18,13",Mortalidade,Municipio
350160,2017,"7,47",Mortalidade,Municipio
350170,2017,16,Mortalidade,Municipio
350190,2017,"5,65",Mortalidade,Municipio
350200,2017,"21,28",Mortalidade,Municipio
350210,2017,"13,37",Mortalidade,Municipio
350220,2017,"3,15",Mortalidade,Municipio
350250,2017,"6,26",Mortalidade,Municipio
350270,2017,"16,67",Mortalidade,Municipio
350275,2017,"12,01",Mortalidade,Municipio
350280,2017,"11,02",Mortalidade,Municipio
350290,2017,"7,25",Mortalidade,Municipio
350310,2017,"30,93",Mortalidade,Municipio
350315,2017,"71,43",Mortalidade,Municipio
350320,2017,"10,46",Mortalidade,Municipio
350330,2017,"12,11",Mortalidade,Municipio
350350,2017,"21,28",Mortalidade,Municipio
350360,2017,"22,9",Mortalidade,Municipio
350380,2017,"7,36",Mortalidade,Municipio
350390,2017,"16,35",Mortalidade,Municipio
350400,2017,"7,69",Mortalidade,Municipio
350410,2017,"11,07",Mortalidade,Municipio
350420,2017,"5,85",Mortalidade,Municipio
350440,2017,"6,37",Mortalidade,Municipio
350450,2017,"11,49",Mortalidade,Municipio
350480,2017,"11,76",Mortalidade,Municipio
350490,2017,"21,05",Mortalidade,Municipio
350500,2017,"17,54",Mortalidade,Municipio
350520,2017,"12,47",Mortalidade,Municipio
350530,2017,"13,42",Mortalidade,Municipio
350540,2017,"13,16",Mortalidade,Municipio
350550,2017,"14,57",Mortalidade,Municipio
350560,2017,"8,53",Mortalidade,Municipio
350570,2017,"8,48",Mortalidade,Municipio
350580,2017,"10,34",Mortalidade,Municipio
350590,2017,"14,75",Mortalidade,Municipio
350600,2017,"12,98",Mortalidade,Municipio
350610,2017,"9,88",Mortalidade,Municipio
350630,2017,"20,27",Mortalidade,Municipio
350635,2017,"16,27",Mortalidade,Municipio
350640,2017,"26,67",Mortalidade,Municipio
350650,2017,"14,67",Mortalidade,Municipio
350660,2017,"15,23",Mortalidade,Municipio
350670,2017,"17,65",Mortalidade,Municipio
350680,2017,"32,26",Mortalidade,Municipio
350700,2017,"11,06",Mortalidade,Municipio
350710,2017,"12,23",Mortalidade,Municipio
350750,2017,"13,99",Mortalidade,Municipio
350760,2017,"8,54",Mortalidade,Municipio
350775,2017,"28,57",Mortalidade,Municipio
350780,2017,"9,09",Mortalidade,Municipio
350790,2017,"7,33",Mortalidade,Municipio
350800,2017,"13,2",Mortalidade,Municipio
350810,2017,"5,59",Mortalidade,Municipio
350840,2017,"16,62",Mortalidade,Municipio
350850,2017,"9,51",Mortalidade,Municipio
350860,2017,"17,33",Mortalidade,Municipio
350870,2017,"14,15",Mortalidade,Municipio
350900,2017,"7,54",Mortalidade,Municipio
350920,2017,"13,54",Mortalidade,Municipio
350925,2017,"10,06",Mortalidade,Municipio
350930,2017,"10,42",Mortalidade,Municipio
350940,2017,"11,73",Mortalidade,Municipio
350950,2017,"8,94",Mortalidade,Municipio
350960,2017,"11,36",Mortalidade,Municipio
350970,2017,"7,82",Mortalidade,Municipio
350980,2017,"25,97",Mortalidade,Municipio
350990,2017,"10,53",Mortalidade,Municipio
350995,2017,"47,06",Mortalidade,Municipio
351000,2017,"14,84",Mortalidade,Municipio
351015,2017,"28,57",Mortalidade,Municipio
351020,2017,"8,96",Mortalidade,Municipio
351030,2017,"14,04",Mortalidade,Municipio
351040,2017,"14,71",Mortalidade,Municipio
351050,2017,"12,53",Mortalidade,Municipio
351060,2017,"10,7",Mortalidade,Municipio
351080,2017,"6,33",Mortalidade,Municipio
351100,2017,"24,39",Mortalidade,Municipio
351110,2017,"8,14",Mortalidade,Municipio
351120,2017,"10,75",Mortalidade,Municipio
351130,2017,"19,61",Mortalidade,Municipio
351140,2017,"12,3",Mortalidade,Municipio
351150,2017,"5,96",Mortalidade,Municipio
351160,2017,"21,28",Mortalidade,Municipio
351170,2017,"19,42",Mortalidade,Municipio
355720,2017,"5,29",Mortalidade,Municipio
351200,2017,"8,1",Mortalidade,Municipio
351210,2017,"11,76",Mortalidade,Municipio
351220,2017,"12,2",Mortalidade,Municipio
351230,2017,"9,62",Mortalidade,Municipio
351240,2017,"3,55",Mortalidade,Municipio
351250,2017,"13,89",Mortalidade,Municipio
351280,2017,"9,49",Mortalidade,Municipio
351300,2017,"7,43",Mortalidade,Municipio
351310,2017,"12,5",Mortalidade,Municipio
351320,2017,"16,53",Mortalidade,Municipio
351340,2017,"14,13",Mortalidade,Municipio
351350,2017,"13,58",Mortalidade,Municipio
351360,2017,"4,15",Mortalidade,Municipio
351370,2017,"8,36",Mortalidade,Municipio
351380,2017,"13,28",Mortalidade,Municipio
351390,2017,"8,62",Mortalidade,Municipio
351400,2017,"16,67",Mortalidade,Municipio
351410,2017,"11,98",Mortalidade,Municipio
351430,2017,"31,25",Mortalidade,Municipio
351440,2017,"10,18",Mortalidade,Municipio
351450,2017,"6,8",Mortalidade,Municipio
351470,2017,"24,69",Mortalidade,Municipio
351480,2017,"14,56",Mortalidade,Municipio
351490,2017,"14,56",Mortalidade,Municipio
351495,2017,"55,56",Mortalidade,Municipio
351500,2017,"11,65",Mortalidade,Municipio
351510,2017,"5,95",Mortalidade,Municipio
351515,2017,"7,35",Mortalidade,Municipio
351518,2017,"4,18",Mortalidade,Municipio
355730,2017,"7,87",Mortalidade,Municipio
351520,2017,"18,52",Mortalidade,Municipio
351535,2017,"27,27",Mortalidade,Municipio
351560,2017,"14,93",Mortalidade,Municipio
351550,2017,"17,68",Mortalidade,Municipio
351570,2017,"10,69",Mortalidade,Municipio
351600,2017,"23,44",Mortalidade,Municipio
351620,2017,"8,8",Mortalidade,Municipio
351630,2017,"11,29",Mortalidade,Municipio
351640,2017,"13,81",Mortalidade,Municipio
351650,2017,40,Mortalidade,Municipio
351660,2017,"38,46",Mortalidade,Municipio
351670,2017,"16,98",Mortalidade,Municipio
351685,2017,"14,49",Mortalidade,Municipio
351690,2017,"8,2",Mortalidade,Municipio
351700,2017,"11,24",Mortalidade,Municipio
351730,2017,"11,36",Mortalidade,Municipio
351740,2017,"6,26",Mortalidade,Municipio
351750,2017,"4,17",Mortalidade,Municipio
351760,2017,"36,76",Mortalidade,Municipio
351770,2017,"4,17",Mortalidade,Municipio
351780,2017,"42,25",Mortalidade,Municipio
351790,2017,"16,26",Mortalidade,Municipio
351820,2017,"10,81",Mortalidade,Municipio
351830,2017,"9,85",Mortalidade,Municipio
351840,2017,"13,82",Mortalidade,Municipio
351850,2017,"6,58",Mortalidade,Municipio
351860,2017,"9,96",Mortalidade,Municipio
351870,2017,"18,53",Mortalidade,Municipio
351880,2017,"11,55",Mortalidade,Municipio
351885,2017,"18,18",Mortalidade,Municipio
351907,2017,"8,08",Mortalidade,Municipio
351910,2017,"7,63",Mortalidade,Municipio
351920,2017,"17,86",Mortalidade,Municipio
351930,2017,"3,98",Mortalidade,Municipio
351950,2017,"29,85",Mortalidade,Municipio
351960,2017,"13,48",Mortalidade,Municipio
351970,2017,"11,89",Mortalidade,Municipio
351980,2017,"27,27",Mortalidade,Municipio
351990,2017,"19,42",Mortalidade,Municipio
352000,2017,"20,76",Mortalidade,Municipio
352030,2017,"32,79",Mortalidade,Municipio
352042,2017,"6,33",Mortalidade,Municipio
352040,2017,"9,43",Mortalidade,Municipio
352050,2017,"9,7",Mortalidade,Municipio
352060,2017,"18,18",Mortalidade,Municipio
352090,2017,"15,71",Mortalidade,Municipio
352100,2017,"8,75",Mortalidade,Municipio
352110,2017,"9,62",Mortalidade,Municipio
352130,2017,"5,26",Mortalidade,Municipio
352140,2017,"8,66",Mortalidade,Municipio
352150,2017,"12,5",Mortalidade,Municipio
352160,2017,25,Mortalidade,Municipio
352170,2017,"32,26",Mortalidade,Municipio
352180,2017,"3,03",Mortalidade,Municipio
352190,2017,"17,24",Mortalidade,Municipio
352210,2017,"7,61",Mortalidade,Municipio
352215,2017,"47,62",Mortalidade,Municipio
352220,2017,"10,39",Mortalidade,Municipio
352230,2017,"15,6",Mortalidade,Municipio
352240,2017,"8,01",Mortalidade,Municipio
352250,2017,"11,24",Mortalidade,Municipio
352260,2017,"23,66",Mortalidade,Municipio
352270,2017,"13,16",Mortalidade,Municipio
352280,2017,"20,2",Mortalidade,Municipio
